objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
49253,Landscape,China,Qing dynasty (1644–1911),1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153896.jpg,7 1/8 x 20 1/4 in. (18.1 x 51.4 cm)
36131,Landscapes with poems,China,Qing dynasty (1644–1911),1981,https://images.metmuseum.org/CRDImages/as/web-large/1981_4_1a.jpg,10 3/4 x 16 1/8 in. (27.3 x 41 cm)
72416,Landscape,Japan,Edo period (1615–1868),2004,https://images.metmuseum.org/CRDImages/as/web-large/DP112938.jpg,Image: 59 7/16 × 66 9/16 in. (151 × 169.1 cm)
45650,Landscape,China,Yuan (1271–1368) or Ming (1368–1644) dynasty,1981,https://images.metmuseum.org/CRDImages/as/web-large/DP157322_CRD.jpg,"Image: 9 13/16 x 30 1/2 in. (24.9 x 77.5 cm)
Overall with mounting: 10 1/8 x 347 5/16 in. (25.7 x 882.2 cm)"
49614,Landscape,China,,1986,,8 3/8 x 26 7/8 in. (21.3 x 68.3 cm)
75680,Landscape,China,,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
36438,Landscape,China,,1988,,"Image: 10 3/8 x 9 5/8 in. (26.4 x 24.4 cm)
Overall with mounting: 54 1/2 x 13 3/4 in. (138.4 x 34.9 cm)
Overall with knobs: 54 1/2 x 16 1/2 in. (138.4 x 41.9 cm)"
49055,Landscape,China,Ming dynasty (1368–1644),1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153876.jpg,8 x 22 in. (20.3 x 55.9 cm)
76393,Landscape,China,,2011,,"Image: 59 1/8 × 59 1/8 in. (150.2 × 150.2 cm)
Sheet: 61 3/4 × 64 1/4 in. (156.8 × 163.2 cm)"
75634,Landscape,China,,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
44895,Landscape,Japan,Edo period (1615–1868),1975,https://images.metmuseum.org/CRDImages/as/web-large/DP277628.jpg,"Image: 58 7/16 x 13 1/4 in. (148.4 x 33.7 cm)
Overall: 82 1/2 x 20 3/4in. (209.6 x 52.7cm)"
