objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
49253,Landscape,China,Qing dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153896.jpg,7 1/8 x 20 1/4 in. (18.1 x 51.4 cm)
36131,Landscapes with poems,China,Qing dynasty,1981,https://images.metmuseum.org/CRDImages/as/web-large/1981_4_1a.jpg,10 3/4 x 16 1/8 in. (27.3 x 41 cm)
45650,Landscape,China,unknown,1981,https://images.metmuseum.org/CRDImages/as/web-large/DP157322_CRD.jpg,"Image: 9 13/16 x 30 1/2 in. (24.9 x 77.5 cm)
Overall with mounting: 10 1/8 x 347 5/16 in. (25.7 x 882.2 cm)"
49614,Landscape,China,unknown,1986,,8 3/8 x 26 7/8 in. (21.3 x 68.3 cm)
75680,Landscape,China,unknown,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
36438,Landscape,China,unknown,1988,,"Image: 10 3/8 x 9 5/8 in. (26.4 x 24.4 cm)
Overall with mounting: 54 1/2 x 13 3/4 in. (138.4 x 34.9 cm)
Overall with knobs: 54 1/2 x 16 1/2 in. (138.4 x 41.9 cm)"
49055,Landscape,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153876.jpg,8 x 22 in. (20.3 x 55.9 cm)
76393,Landscape,China,unknown,2011,,"Image: 59 1/8 × 59 1/8 in. (150.2 × 150.2 cm)
Sheet: 61 3/4 × 64 1/4 in. (156.8 × 163.2 cm)"
75634,Landscape,China,unknown,2005,,"Overall (sketchbook closed): 9 3/16 x 13 x 3/4 in. (23.3 x 33 x 1.9 cm)
Page (each): 8 11/16 x 12 7/8 in. (22.1 x 32.7 cm)"
49451,Landscape,China,Qing dynasty,1986,https://images.metmuseum.org/CRDImages/as/web-large/DT8380.jpg,61 1/4 x 17 3/16 in. (155.6 x 43.7 cm)
49455,Landscape,China,Qing dynasty,1986,https://images.metmuseum.org/CRDImages/as/web-large/DP161404.jpg,7 1/8 x 20 1/4 in. (18.1 x 51.4 cm)
51610,Landscape,China,Ming dynasty,1942,https://images.metmuseum.org/CRDImages/as/web-large/DP154479.jpg,5 x 6 3/4 in. (12.7 x 17.1 cm)
51613,Landscape,China,Qing dynasty,1942,https://images.metmuseum.org/CRDImages/as/web-large/DP154483.jpg,5 x 6 3/4 in. (12.7 x 17.1 cm)
51502,Landscape,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP154415.jpg,8 9/16 x 13 5/8 in. (21.7 x 34.6 cm)
51822,Landscape,China,Qing dynasty,1957,https://images.metmuseum.org/CRDImages/as/web-large/DP203222_CRD.jpg,16 1/4 x 107 7/8 in. (41.3 x 274 cm)
49013,Landscape,China,unknown,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP153871.jpg,Image: 9 1/2 × 20 1/8 in. (24.1 × 51.1 cm)
36306,Landscape,China,unknown,1986,,7 3/4 x 21 7/16 in. (19.7 x 54.5 cm)
36293,Landscape,China,unknown,1986,,7 1/8 x 20 3/16 in. (18.1 x 51.3 cm)
36364,Landscape,China,unknown,1986,,7 1/4 x 20 5/16 in. (18.4 x 51.6 cm)
36365,Landscape,China,unknown,1986,,7 3/4 x 21 1/2 in. (19.7 x 54.6 cm)
36312,Landscape,China,unknown,1986,,7 5/16 x 20 1/4 in. (18.6 x 51.4 cm)
44581,Landscape,China,Qing dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/1989_149_O.JPG,"Image: 45 x 25 5/16 in. (114.3 x 64.3 cm)
Overall with mounting: 98 x 32 1/2 in. (248.9 x 82.6 cm)
Overall with knobs: 98 x 36 1/4 in. (248.9 x 92.1 cm)"
36350,Landscape,China,unknown,1986,,6 7/8 x 19 1/2 in. (17.5 x 49.5 cm)
36308,Landscape,China,unknown,1986,,8 5/16 x 27 5/8 in. (21.1 x 70.2 cm)
